# Super Mario Bros. World 1-1 - extracted from the original level scene
# T <x> <y> <layer> <sprite>
T 111 -4 0 WorldTileSprites_52
T 112 -4 0 WorldTileSprites_52
T 113 -4 0 WorldTileSprites_52
T 114 -4 0 WorldTileSprites_52
T 115 -4 0 WorldTileSprites_52
T 116 -4 0 WorldTileSprites_52
T 117 -4 0 WorldTileSprites_52
T 118 -4 0 WorldTileSprites_52
T 119 -4 0 WorldTileSprites_52
T 120 -4 0 WorldTileSprites_52
T 121 -4 0 WorldTileSprites_52
T 122 -4 0 WorldTileSprites_52
T 123 -4 0 WorldTileSprites_52
T 124 -4 0 WorldTileSprites_52
T 125 -4 0 WorldTileSprites_52
T 126 -4 0 WorldTileSprites_52
T 127 -4 0 WorldTileSprites_52
T 128 -4 0 WorldTileSprites_52
T 129 -4 0 WorldTileSprites_52
T 130 -4 0 WorldTileSprites_52
T 131 -4 0 WorldTileSprites_52
T 132 -4 0 WorldTileSprites_52
T 133 -4 0 WorldTileSprites_52
T 134 -4 0 WorldTileSprites_52
T 135 -4 0 WorldTileSprites_52
T 136 -4 0 WorldTileSprites_52
T 137 -4 0 WorldTileSprites_52
T 138 -4 0 WorldTileSprites_52
T 141 -4 0 WorldTileSprites_52
T 142 -4 0 WorldTileSprites_52
T 143 -4 0 WorldTileSprites_52
T 144 -4 0 WorldTileSprites_52
T 145 -4 0 WorldTileSprites_52
T 146 -4 0 WorldTileSprites_52
T 147 -4 0 WorldTileSprites_52
T 148 -4 0 WorldTileSprites_52
T 149 -4 0 WorldTileSprites_52
T 150 -4 0 WorldTileSprites_52
T 151 -4 0 WorldTileSprites_52
T 152 -4 0 WorldTileSprites_52
T 153 -4 0 WorldTileSprites_52
T 154 -4 0 WorldTileSprites_52
T 155 -4 0 WorldTileSprites_52
T 156 -4 0 WorldTileSprites_52
T 157 -4 0 WorldTileSprites_52
T 158 -4 0 WorldTileSprites_52
T 159 -4 0 WorldTileSprites_52
T 160 -4 0 WorldTileSprites_52
T 161 -4 0 WorldTileSprites_52
T 162 -4 0 WorldTileSprites_52
T 163 -4 0 WorldTileSprites_52
T 164 -4 0 WorldTileSprites_52
T 165 -4 0 WorldTileSprites_52
T 166 -4 0 WorldTileSprites_52
T 167 -4 0 WorldTileSprites_52
T 168 -4 0 WorldTileSprites_52
T 169 -4 0 WorldTileSprites_52
T 170 -4 0 WorldTileSprites_52
T 171 -4 0 WorldTileSprites_52
T 172 -4 0 WorldTileSprites_52
T 173 -4 0 WorldTileSprites_52
T 174 -4 0 WorldTileSprites_52
T 175 -4 0 WorldTileSprites_52
T 176 -4 0 WorldTileSprites_52
T 177 -4 0 WorldTileSprites_52
T 178 -4 0 WorldTileSprites_52
T 179 -4 0 WorldTileSprites_52
T 180 -4 0 WorldTileSprites_52
T 181 -4 0 WorldTileSprites_52
T 182 -4 0 WorldTileSprites_52
T 183 -4 0 WorldTileSprites_52
T 184 -4 0 WorldTileSprites_52
T 185 -4 0 WorldTileSprites_52
T 186 -4 0 WorldTileSprites_52
T 187 -4 0 WorldTileSprites_52
T 188 -4 0 WorldTileSprites_52
T 189 -4 0 WorldTileSprites_52
T 190 -4 0 WorldTileSprites_52
T 191 -4 0 WorldTileSprites_52
T 192 -4 0 WorldTileSprites_52
T 193 -4 0 WorldTileSprites_52
T 194 -4 0 WorldTileSprites_52
T 195 -4 0 WorldTileSprites_52
T 196 -4 0 WorldTileSprites_52
T 197 -4 0 WorldTileSprites_52
T 198 -4 0 WorldTileSprites_52
T 199 -4 0 WorldTileSprites_52
T 200 -4 0 WorldTileSprites_52
T 201 -4 0 WorldTileSprites_52
T 202 -4 0 WorldTileSprites_52
T 203 -4 0 WorldTileSprites_52
T 204 -4 0 WorldTileSprites_52
T 205 -4 0 WorldTileSprites_52
T 206 -4 0 WorldTileSprites_52
T 207 -4 0 WorldTileSprites_52
T 208 -4 0 WorldTileSprites_52
T 209 -4 0 WorldTileSprites_52
T 14 -3 0 WorldTileSprites_18
T 15 -3 0 WorldTileSprites_19
T 24 -3 0 WorldTileSprites_18
T 25 -3 0 WorldTileSprites_19
T 32 -3 0 WorldTileSprites_18
T 33 -3 0 WorldTileSprites_19
T 43 -3 0 WorldTileSprites_18
T 44 -3 0 WorldTileSprites_19
T 120 -3 0 WorldTileSprites_65
T 121 -3 0 WorldTileSprites_65
T 122 -3 0 WorldTileSprites_65
T 123 -3 0 WorldTileSprites_65
T 126 -3 0 WorldTileSprites_65
T 127 -3 0 WorldTileSprites_65
T 128 -3 0 WorldTileSprites_65
T 129 -3 0 WorldTileSprites_65
T 134 -3 0 WorldTileSprites_65
T 135 -3 0 WorldTileSprites_65
T 136 -3 0 WorldTileSprites_65
T 137 -3 0 WorldTileSprites_65
T 138 -3 0 WorldTileSprites_65
T 141 -3 0 WorldTileSprites_65
T 142 -3 0 WorldTileSprites_65
T 143 -3 0 WorldTileSprites_65
T 144 -3 0 WorldTileSprites_65
T 149 -3 0 WorldTileSprites_18
T 150 -3 0 WorldTileSprites_19
T 165 -3 0 WorldTileSprites_18
T 166 -3 0 WorldTileSprites_19
T 167 -3 0 WorldTileSprites_65
T 168 -3 0 WorldTileSprites_65
T 169 -3 0 WorldTileSprites_65
T 170 -3 0 WorldTileSprites_65
T 171 -3 0 WorldTileSprites_65
T 172 -3 0 WorldTileSprites_65
T 173 -3 0 WorldTileSprites_65
T 174 -3 0 WorldTileSprites_65
T 175 -3 0 WorldTileSprites_65
T 184 -3 0 WorldTileSprites_65
T 14 -2 0 WorldTileSprites_5
T 15 -2 0 WorldTileSprites_6
T 24 -2 0 WorldTileSprites_18
T 25 -2 0 WorldTileSprites_19
T 32 -2 0 WorldTileSprites_18
T 33 -2 0 WorldTileSprites_19
T 43 -2 0 WorldTileSprites_18
T 44 -2 0 WorldTileSprites_19
T 121 -2 0 WorldTileSprites_65
T 122 -2 0 WorldTileSprites_65
T 123 -2 0 WorldTileSprites_65
T 126 -2 0 WorldTileSprites_65
T 127 -2 0 WorldTileSprites_65
T 128 -2 0 WorldTileSprites_65
T 135 -2 0 WorldTileSprites_65
T 136 -2 0 WorldTileSprites_65
T 137 -2 0 WorldTileSprites_65
T 138 -2 0 WorldTileSprites_65
T 141 -2 0 WorldTileSprites_65
T 142 -2 0 WorldTileSprites_65
T 143 -2 0 WorldTileSprites_65
T 149 -2 0 WorldTileSprites_5
T 150 -2 0 WorldTileSprites_6
T 165 -2 0 WorldTileSprites_5
T 166 -2 0 WorldTileSprites_6
T 168 -2 0 WorldTileSprites_65
T 169 -2 0 WorldTileSprites_65
T 170 -2 0 WorldTileSprites_65
T 171 -2 0 WorldTileSprites_65
T 172 -2 0 WorldTileSprites_65
T 173 -2 0 WorldTileSprites_65
T 174 -2 0 WorldTileSprites_65
T 175 -2 0 WorldTileSprites_65
T 24 -1 0 WorldTileSprites_5
T 25 -1 0 WorldTileSprites_6
T 32 -1 0 WorldTileSprites_18
T 33 -1 0 WorldTileSprites_19
T 43 -1 0 WorldTileSprites_18
T 44 -1 0 WorldTileSprites_19
T 122 -1 0 WorldTileSprites_65
T 123 -1 0 WorldTileSprites_65
T 126 -1 0 WorldTileSprites_65
T 127 -1 0 WorldTileSprites_65
T 136 -1 0 WorldTileSprites_65
T 137 -1 0 WorldTileSprites_65
T 138 -1 0 WorldTileSprites_65
T 141 -1 0 WorldTileSprites_65
T 142 -1 0 WorldTileSprites_65
T 169 -1 0 WorldTileSprites_65
T 170 -1 0 WorldTileSprites_65
T 171 -1 0 WorldTileSprites_65
T 172 -1 0 WorldTileSprites_65
T 173 -1 0 WorldTileSprites_65
T 174 -1 0 WorldTileSprites_65
T 175 -1 0 WorldTileSprites_65
T 32 0 0 WorldTileSprites_5
T 33 0 0 WorldTileSprites_6
T 43 0 0 WorldTileSprites_5
T 44 0 0 WorldTileSprites_6
T 123 0 0 WorldTileSprites_65
T 126 0 0 WorldTileSprites_65
T 137 0 0 WorldTileSprites_65
T 138 0 0 WorldTileSprites_65
T 141 0 0 WorldTileSprites_65
T 170 0 0 WorldTileSprites_65
T 171 0 0 WorldTileSprites_65
T 172 0 0 WorldTileSprites_65
T 173 0 0 WorldTileSprites_65
T 174 0 0 WorldTileSprites_65
T 175 0 0 WorldTileSprites_65
T 171 1 0 WorldTileSprites_65
T 172 1 0 WorldTileSprites_65
T 173 1 0 WorldTileSprites_65
T 174 1 0 WorldTileSprites_65
T 175 1 0 WorldTileSprites_65
T 172 2 0 WorldTileSprites_65
T 173 2 0 WorldTileSprites_65
T 174 2 0 WorldTileSprites_65
T 175 2 0 WorldTileSprites_65
T 173 3 0 WorldTileSprites_65
T 174 3 0 WorldTileSprites_65
T 175 3 0 WorldTileSprites_65
T 174 4 0 WorldTileSprites_65
T 175 4 0 WorldTileSprites_65
T -14 -3 1 SceneryTileSprites_8
T -13 -3 1 SceneryTileSprites_20
T -12 -3 1 SceneryTileSprites_21
T -11 -3 1 SceneryTileSprites_22
T -10 -3 1 SceneryTileSprites_10
T -3 -3 1 SceneryTileSprites_17
T -2 -3 1 SceneryTileSprites_18
T -1 -3 1 SceneryTileSprites_18
T 0 -3 1 SceneryTileSprites_18
T 1 -3 1 SceneryTileSprites_19
T 2 -3 1 SceneryTileSprites_8
T 3 -3 1 SceneryTileSprites_20
T 4 -3 1 SceneryTileSprites_10
T 9 -3 1 SceneryTileSprites_17
T 10 -3 1 SceneryTileSprites_18
T 11 -3 1 SceneryTileSprites_19
T 27 -3 1 SceneryTileSprites_17
T 28 -3 1 SceneryTileSprites_18
T 29 -3 1 SceneryTileSprites_18
T 30 -3 1 SceneryTileSprites_19
T 34 -3 1 SceneryTileSprites_8
T 35 -3 1 SceneryTileSprites_20
T 36 -3 1 SceneryTileSprites_21
T 37 -3 1 SceneryTileSprites_22
T 38 -3 1 SceneryTileSprites_10
T 45 -3 1 SceneryTileSprites_17
T 46 -3 1 SceneryTileSprites_18
T 47 -3 1 SceneryTileSprites_18
T 48 -3 1 SceneryTileSprites_18
T 49 -3 1 SceneryTileSprites_19
T 50 -3 1 SceneryTileSprites_8
T 51 -3 1 SceneryTileSprites_20
T 52 -3 1 SceneryTileSprites_10
T 57 -3 1 SceneryTileSprites_17
T 58 -3 1 SceneryTileSprites_18
T 59 -3 1 SceneryTileSprites_19
T 75 -3 1 SceneryTileSprites_17
T 76 -3 1 SceneryTileSprites_18
T 77 -3 1 SceneryTileSprites_18
T 78 -3 1 SceneryTileSprites_19
T 82 -3 1 SceneryTileSprites_8
T 83 -3 1 SceneryTileSprites_20
T 84 -3 1 SceneryTileSprites_21
T 85 -3 1 SceneryTileSprites_22
T 86 -3 1 SceneryTileSprites_10
T 93 -3 1 SceneryTileSprites_17
T 94 -3 1 SceneryTileSprites_18
T 95 -3 1 SceneryTileSprites_18
T 96 -3 1 SceneryTileSprites_18
T 97 -3 1 SceneryTileSprites_19
T 98 -3 1 SceneryTileSprites_8
T 99 -3 1 SceneryTileSprites_20
T 100 -3 1 SceneryTileSprites_10
T 105 -3 1 SceneryTileSprites_17
T 106 -3 1 SceneryTileSprites_18
T 107 -3 1 SceneryTileSprites_19
T 123 -3 1 SceneryTileSprites_17
T 124 -3 1 SceneryTileSprites_18
T 125 -3 1 SceneryTileSprites_18
T 126 -3 1 SceneryTileSprites_19
T 130 -3 1 SceneryTileSprites_8
T 131 -3 1 SceneryTileSprites_20
T 132 -3 1 SceneryTileSprites_21
T 133 -3 1 SceneryTileSprites_22
T 134 -3 1 SceneryTileSprites_10
T 143 -3 1 SceneryTileSprites_17
T 144 -3 1 SceneryTileSprites_18
T 145 -3 1 SceneryTileSprites_19
T 146 -3 1 SceneryTileSprites_8
T 147 -3 1 SceneryTileSprites_20
T 148 -3 1 SceneryTileSprites_10
T 153 -3 1 SceneryTileSprites_17
T 154 -3 1 SceneryTileSprites_18
T 155 -3 1 SceneryTileSprites_19
T 178 -3 1 SceneryTileSprites_8
T 179 -3 1 SceneryTileSprites_20
T 180 -3 1 SceneryTileSprites_21
T 181 -3 1 SceneryTileSprites_22
T 182 -3 1 SceneryTileSprites_10
T 191 -3 1 SceneryTileSprites_17
T 192 -3 1 SceneryTileSprites_18
T 193 -3 1 SceneryTileSprites_19
T 194 -3 1 SceneryTileSprites_8
T 195 -3 1 SceneryTileSprites_20
T 196 -3 1 SceneryTileSprites_10
T 201 -3 1 SceneryTileSprites_17
T 202 -3 1 SceneryTileSprites_18
T 203 -3 1 SceneryTileSprites_19
T -13 -2 1 SceneryTileSprites_8
T -12 -2 1 SceneryTileSprites_20
T -11 -2 1 SceneryTileSprites_10
T 3 -2 1 SceneryTileSprites_9
T 35 -2 1 SceneryTileSprites_8
T 36 -2 1 SceneryTileSprites_20
T 37 -2 1 SceneryTileSprites_10
T 51 -2 1 SceneryTileSprites_9
T 83 -2 1 SceneryTileSprites_8
T 84 -2 1 SceneryTileSprites_20
T 85 -2 1 SceneryTileSprites_10
T 99 -2 1 SceneryTileSprites_9
T 131 -2 1 SceneryTileSprites_8
T 132 -2 1 SceneryTileSprites_20
T 133 -2 1 SceneryTileSprites_10
T 147 -2 1 SceneryTileSprites_9
T 179 -2 1 SceneryTileSprites_8
T 180 -2 1 SceneryTileSprites_20
T 181 -2 1 SceneryTileSprites_10
T 195 -2 1 SceneryTileSprites_9
T -12 -1 1 SceneryTileSprites_9
T 36 -1 1 SceneryTileSprites_9
T 84 -1 1 SceneryTileSprites_9
T 132 -1 1 SceneryTileSprites_9
T 180 -1 1 SceneryTileSprites_9
T -6 5 1 SceneryTileSprites_14
T -5 5 1 SceneryTileSprites_15
T -4 5 1 SceneryTileSprites_16
T 13 5 1 SceneryTileSprites_14
T 14 5 1 SceneryTileSprites_15
T 15 5 1 SceneryTileSprites_15
T 16 5 1 SceneryTileSprites_15
T 17 5 1 SceneryTileSprites_16
T 42 5 1 SceneryTileSprites_14
T 43 5 1 SceneryTileSprites_15
T 44 5 1 SceneryTileSprites_16
T 61 5 1 SceneryTileSprites_14
T 62 5 1 SceneryTileSprites_15
T 63 5 1 SceneryTileSprites_15
T 64 5 1 SceneryTileSprites_15
T 65 5 1 SceneryTileSprites_16
T 90 5 1 SceneryTileSprites_14
T 91 5 1 SceneryTileSprites_15
T 92 5 1 SceneryTileSprites_16
T 109 5 1 SceneryTileSprites_14
T 110 5 1 SceneryTileSprites_15
